メーンディッシュ	main|dish	M_EY1_N|D_IH1_SH
アクセスコントロールリスト	access|control|list	AE1_K_S_EH2_S|K_AH0_N_T_R_OW1_L|L_IH1_S_T
クロスオーバーケーブル	crossover|cable	K_R_AO1_S_OW2_V_ER0|K_EY1_B_AH0_L
スタンディング	standing	S_T_AE1_N_D_IH0_NG
フォービート	four|beat	F_AO1_R|B_IY1_T
ロードポイント	load|point	L_OW1_D|P_OY1_N_T
インターナショナリゼーション	internationalization	IH2_N_T_ER0_N_AE2_SH_AH0_N_AA0_L_IH0_Z_EY1_SH_AH0_N
インターアクション	interaction	IH2_N_T_ER0_AE1_K_SH_AH0_N
マイナスシーリング	minus|ceiling	M_AY1_N_AH0_S|S_IY1_L_IH0_NG
ベイパーロック	vapor|lock	V_EY1_P_ER0|L_AA1_K
スイーツビール	sweets|beer	S_W_IY1_T_S|B_IH1_R
レトロゲーム	retro|game	R_EH1_T_R_OW0|G_EY1_M
デングウイルス	dengue|virus	D_EH1_N_G|V_AY1_R_AH0_S
イエティ	yeti	Y_EH1_T_IY0
ヒートシンク	heat|sink	HH_IY1_T|S_IH1_NG_K
ハイリターン	high|return	HH_AY1|R_IH0_T_ER1_N
ピンクサロン	pink|salon	P_IH1_NG_K|S_AH0_L_AA1_N
ハンディ	handy	HH_AE1_N_D_IY0
レジャーウエア	leisure|wear	L_EH1_ZH_ER0|W_EH1_R
アジテイション	agitation	AE2_JH_AH0_T_EY1_SH_AH0_N
マルチパーパスナイフ	multipurpose|knife	M_AH2_L_T_IY0_P_ER1_P_AH0_S|N_AY1_F
ギタリスト	guitarist	G_IH2_T_AA1_R_IH0_S_T
ジョブエントリサブシステム	job|entry|subsystem	JH_AA1_B|EH1_N_T_R_IY0|S_AH1_B_S_IH2_S_T_AH0_M
シーズンパス	season|pass	S_IY1_Z_AH0_N|P_AE1_S
テーパー	taper	T_EY1_P_ER0
キャリアアップ	career|up	K_ER0_IH1_R|AH1_P
プラスチックケース	plastic|case	P_L_AE1_S_T_IH0_K|K_EY1_S
ダマスカス	damascus	D_AH0_M_AE1_S_K_AH0_S
リングボーイ	ring|boy	R_IH1_NG|B_OY1
トラブルメーカー	troublemaker	T_R_AH1_B_AH0_L_M_EY2_K_ER0
ウォーターハザード	water|hazard	W_AO1_T_ER0|HH_AE1_Z_ER0_D
ブリーチャーズ	bleachers	B_L_IY1_CH_ER0_Z
ファンレター	fan|letter	F_AE1_N|L_EH1_T_ER0
ウォークライ	war|cry	W_AO1_R|K_R_AY1
グルニエ	grenier	G_R_IY1_N_IY0_ER0
コミュニティーメディア	community|media	K_AH0_M_Y_UW1_N_AH0_T_IY0|M_IY1_D_IY0_AH0
コンプレックススクリプト	complex|script	K_AA1_M_P_L_EH0_K_S|S_K_R_IH1_P_T
フリーウエー	freeway	F_R_IY1_W_EY2
クオート	quart	K_W_AO1_R_T
ヒエラルキー	hierarchy	HH_AY1_ER0_AA2_R_K_IY0
ツリードクター	tree|doctor	T_R_IY1|D_AA1_K_T_ER0
キューバンヒール	cuban|heel	K_Y_UW1_B_AH0_N|HH_IY1_L
ハットトリック	hat|trick	HH_AE1_T|T_R_IH1_K
インテリアデザイン	interior|design	IH2_N_T_IH1_R_IY0_ER0|D_IH0_Z_AY1_N
イーストコースト	east|coast	IY1_S_T|K_OW1_S_T
ネイティヴ	native	N_EY1_T_IH0_V
ワールドワイドウェッブ	world|wide|web	W_ER1_L_D|W_AY1_D|W_EH1_B
キャプチャカード	capture|card	K_AE1_P_CH_ER0|K_AA1_R_D
カウボーイブーツ	cowboy|boots	K_AW1_B_OY2|B_UW1_T_S
オープンデータ	open|data	OW1_P_AH0_N|D_EY1_T_AH0
ソーイングマシーン	sewing|machine	S_OW1_IH0_NG|M_AH0_SH_IY1_N
アローン	alone	AH0_L_OW1_N
スケアクロー	scarecrow	S_K_AE1_R_K_R_OW2
カバーガラス	cover|glass	K_AH1_V_ER0|G_L_AE1_S
パーティピーポー	party|people	P_AA1_R_T_IY0|P_IY1_P_AH0_L
エントロピー	entropy	EH1_N_T_R_AH0_P_IY0
バスト	bust	B_AH1_S_T
エンマーク	yen|mark	Y_EH1_N|M_AA1_R_K
ハーモニカ	harmonica	HH_AA0_R_M_AA1_N_IH0_K_AH0
リア	rear	R_IH1_R
ジオイド	geoid	JH_IY1_OY0_D
ジョリーロジャー	jolly|roger	JH_AA1_L_IY0|R_AA1_JH_ER0
バックプロパゲーション	back|propagation	B_AE1_K|P_R_AA2_P_AH0_G_EY1_SH_AH0_N
オーラルケア	oral|care	AO1_R_AH0_L|K_EH1_R
トラブル	trouble	T_R_AH1_B_AH0_L
ストレート	straight	S_T_R_EY1_T
ケニヤ	kenya	K_EH1_N_Y_AH0
テクスト	text	T_EH1_K_S_T
クエンチ	quench	K_W_EH1_N_CH
タイムリーヒット	timely|hit	T_AY1_M_L_IY0|HH_IH1_T
レスポンスタイム	response|time	R_IH0_S_P_AA1_N_S|T_AY1_M
クロスボー	crossbow	K_R_AO1_S_B_OW2
メイルサーバ	mail|server	M_EY1_L|S_ER1_V_ER0
ビキニモデル	bikini|model	B_IH0_K_IY1_N_IY0|M_AA1_D_AH0_L
ファーマー	farmer	F_AA1_R_M_ER0
