フルーツサラダ	fruits salad
クリッパーチップ	clipper chip
ライフサイクル	life cycle
ボイストレーニング	voice training
オップアート	op art
ノーズコーン	nose cone
インカムタックス	income tax
エグゼクティブフロア	executive floor
ウェブフォーム	web form
ハムサンド	ham sand
ツーアウト	two out
グロースターター	glow starter
スコアリングポジション	scoring position
チーズフォンデュ	cheese fondue
ベイビースリング	baby sling
バッテリバックアップ	battery backup
イベントサークル’	event circle
ウエイトベルト	weight belt
ファシリティマネジメント	facility management
タッチフットボール	touch football
ナイロンラッチ	nylon latch
ダイビングスタイル	diving style
ネットオークション	net auction
カットフィルム	cut film
キーワードサーチ	keyword search
チーフメート	chief mate
パネルヒーター	panel heater
エラーシグナル	error signal
ブロックデバイス	block device
トムヤム	tom yum
シズルカット	sizzle cut
ホストカントリー	host country
メインディレクトリ	main directory
フラッグシップショップ	flagship shop
ドットインパクトプリンタ	dot impact printer
ハーフネルソン	half nelson
パーマネントバーチャルサーキット	permanent virtual circuit
シックスナイン	six nine
シーレン	sea lane
ウインザーチェア	windsor chair
ハードコート	hard court
ホームウエア	home wear
ウッドメタル	wood metal
パブリックフォルダ	public folder
トラヒックディスクリプタ	traffic descriptor
アナログデジタル	analog digital
パルムドール	palme d'or
レンジファインダー	range finder
ネットサーファ	net surfer
プルマンベッド	pullman bed
グランドピアノ	grand piano
パケットフィルタリング	packet filtering
ミドルレンジモデル	middle range model
キャラクタデバイス	character device
ランダムファイル	random file
パケットタイプ	packet type
トレーニングウエア	training wear
スパゲッティーボロネーゼ	spaghetti bolognese
バスネットワーク	bus network
アカウントポリシー	account policy
プルドポーク	pulled pork
ラスターファイル	raster file
スクエアポジション	square position
スプラッタムービー	splatter movie
ゼネラルマーチャンダイズストア	general merchandise store
ジュニアボードシステム	junior board system
ドキュメントファイル	document file
セカンドベース	second base
ミネラルウォータ	mineral water
ドライブタイプ	drive type
キャッチコピー	catch copy
ネオファシスト	neo fascist
レベニューニュートラル	revenue neutral
プレパラトリースクール	preparatory school
ニュースフィード	news feed
アカウントドメイン	account domain
シャトルバス	shuttle bus
ゴールデンモンキー	golden monkey
スクラッチノイズ	scratch noise
コールドタイプ	cold type
クロスステッチ	cross stitch
クリスタルフルーツ	crystal fruits
アイコニックメモリ	iconic memory
アマチュアオーケストラ	amateur orchestra
スクラッチヒット	scratch hit
ノースリーブ	no sleeve
マーケットメカニズム	market mechanism
フィルムライブラリー	film library
ユーティリティープレーヤー	utility player
レッドキャベツ	red cabbage
レジメンタルタイ	regimental tie
インターステートハイウエー	interstate highway
アドマン	ad man
オンラインコンピュータ	online computer
インプレー	in play
ドライビングスクール	driving school
グローバルウォー	global war
スポットニュース	spot news
アクティブオブジェクト	active object
グラムメタル	glam metal
ダブルニット	double knit
バトンゾーン	baton zone
ベンディングマシーン	vending machine
クロックアップ	clock up
アディショナルタイム	additional time
セットメーカー	set maker
ドゥーワップ	doo wop
アンコンシャスバイアス	unconscious bias
フォークシンガー	folk singer
アルファギーク	alpha geek
エバーオンワード	ever onward
